participant_id,trial_id,group,complexity,true_condition,ai_diagnosis,user_decision,ai_correct,user_correct,confidence,uncertainty,misunderstanding_detected,misunderstanding_type,intervention_type,helpfulness,understanding_improved,mental_model_accuracy,decision_time,confusion_level
treatment_novice_1,10,treatment,simple,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease,True,True,0.8118453126736961,low,False,,none,0.0,False,0.3328652230323176,12.140311797911117,3.6102644221007107
treatment_novice_1,48,treatment,complex,Heart Failure,Heart Failure,Heart Failure,True,True,0.607679250741014,high,True,ignoring_uncertainty,contrastive_explanation,7.895760461540226,False,0.33833324753334737,26.541385467504497,5.137587525628839
treatment_novice_1,1,treatment,simple,Heart Failure,Heart Failure,Heart Failure,True,True,0.8363826590174384,low,False,,none,0.0,False,0.33833324753334737,12.782109097060136,3.657608216495587
treatment_novice_1,60,treatment,complex,Chronic Kidney Disease,Chronic Kidney Disease,Chronic Kidney Disease,True,True,0.7260491495712444,medium,True,repeated_queries,micro_learning,8.556696846669123,False,0.3425893225847785,24.251178734886967,5.065371313758131
treatment_novice_1,26,treatment,medium,Asthma,Asthma,Asthma,True,True,0.5677487758724472,high,True,ignoring_uncertainty,contrastive_explanation,7.928454846017017,False,0.3481854739216782,26.402015899973144,6.010992092009381
treatment_novice_1,15,treatment,simple,Osteoporosis,Osteoporosis,Osteoporosis,True,True,0.846729841026617,low,True,repeated_queries,interactive_qa,7.610593896606158,False,0.35352097618145223,10.424259414732417,3.938636752927982
treatment_novice_1,3,treatment,simple,Parkinson's Disease,Parkinson's Disease,Parkinson's Disease,True,True,0.7045841976879388,medium,False,,none,0.0,False,0.35352097618145223,11.121924268359678,4.918742680109693
treatment_novice_1,64,treatment,complex,Diabetes Type 2,Diabetes Type 2,Diabetes Type 2,True,True,0.6578656271683467,medium,True,repeated_queries,micro_learning,7.5838226776270155,False,0.3576495556888426,27.528900283003416,5.336097828911154
treatment_novice_1,34,treatment,medium,Pneumonia,Pneumonia,Pneumonia,True,True,0.7605822180566962,medium,False,,none,0.0,False,0.3576495556888426,20.006471961477924,5.810377460280178
treatment_novice_1,53,treatment,complex,Asthma,Asthma,Chronic Obstructive Pulmonary Disease,True,False,0.7986322161875274,medium,True,repeated_queries,analogies,8.582316078598273,False,0.36343775891444785,27.19035435069714,5.203403107260739
treatment_novice_1,38,treatment,complex,Diabetes Type 2,Diabetes Type 2,Diabetes Type 2,True,True,0.6687846129859772,medium,False,,none,0.0,False,0.36343775891444785,20.036457194804512,6.127732461097795
treatment_novice_1,19,treatment,medium,Rheumatoid Arthritis,Rheumatoid Arthritis,Osteoporosis,True,False,0.7797483048771134,medium,False,,none,0.0,False,0.36343775891444785,15.832275110595956,6.229330133750427
treatment_novice_1,46,treatment,complex,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease,True,True,0.8436173131079008,low,False,,none,0.0,False,0.36343775891444785,20.96453043803679,3.9733194011683164
treatment_novice_1,54,treatment,complex,Heart Failure,Pneumonia,Heart Failure,False,True,0.5,high,True,prolonged_hesitation,simplified_explanation,8.574942845580098,False,0.37170179975546536,23.548507834917274,5.1833352348278625
treatment_novice_1,23,treatment,medium,Parkinson's Disease,Parkinson's Disease,Parkinson's Disease,True,True,0.7828190864394099,medium,False,,none,0.0,False,0.37170179975546536,18.577596019064277,5.0088630208409075
treatment_novice_1,8,treatment,simple,Heart Failure,Heart Failure,Heart Failure,True,True,0.6325461761525816,high,False,,none,0.0,False,0.37170179975546536,12.991569558984779,6.043212303411819
treatment_novice_1,33,treatment,medium,Asthma,Asthma,Asthma,True,True,0.7113784793172452,medium,False,,none,0.0,False,0.37170179975546536,16.375126933095885,4.303661476406748
treatment_novice_1,14,treatment,simple,Asthma,Asthma,Asthma,True,True,0.8266678313533666,low,False,,none,0.0,False,0.37170179975546536,13.060540308886816,3.5118628679512556
treatment_novice_1,57,treatment,complex,Multiple Sclerosis,Multiple Sclerosis,Multiple Sclerosis,True,True,0.8221098482600546,low,True,prolonged_hesitation,micro_learning,7.856794093247506,False,0.3788628405003326,22.074068669608145,4.289784894045249
treatment_novice_1,27,treatment,medium,Pneumonia,Pneumonia,Pneumonia,True,True,0.6425266852860785,high,True,repeated_queries,simplified_explanation,9.352019100398756,False,0.3855298429012939,16.651584698980894,5.087897369020192
treatment_novice_1,56,treatment,complex,Chronic Kidney Disease,Chronic Kidney Disease,Chronic Kidney Disease,True,True,0.6489595857933579,high,True,prolonged_hesitation,analogies,9.04511034160101,False,0.39210402401293526,27.230158239863858,6.41444584513642
treatment_novice_1,39,treatment,complex,Heart Failure,Heart Failure,Heart Failure,True,True,0.8017205480784864,low,False,,none,0.0,False,0.39210402401293526,19.307580872599424,2.6403371198127554
treatment_novice_1,32,treatment,medium,Heart Failure,Heart Failure,Heart Failure,True,True,0.5681350356739057,high,False,,none,0.0,False,0.39210402401293526,17.96791270949137,4.6641725563655365
treatment_novice_1,28,treatment,medium,Multiple Sclerosis,Multiple Sclerosis,Multiple Sclerosis,True,True,0.7522098856357631,medium,True,repeated_queries,visualizations,8.219964496475892,False,0.3981932177556042,17.14319436721645,5.476985885967383
treatment_novice_1,43,treatment,complex,Chronic Kidney Disease,Chronic Kidney Disease,Chronic Kidney Disease,True,True,0.8074657477063562,low,False,,none,0.0,False,0.3981932177556042,15.389663475313453,3.2779663177167544
treatment_novice_1,29,treatment,medium,Heart Failure,Pneumonia,Pneumonia,False,False,0.7184373636428099,medium,False,,none,0.0,False,0.3981932177556042,17.2961101672941,4.495291776769043
treatment_novice_1,18,treatment,medium,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease,Pneumonia,True,False,0.6038063509660206,high,False,,none,0.0,False,0.3981932177556042,16.15205808133155,5.312240130451059
treatment_novice_1,6,treatment,simple,Heart Failure,Heart Failure,Heart Failure,True,True,0.7719235512762157,medium,True,repeated_queries,simplified_explanation,8.98496552977727,True,0.3988460074550063,9.645647111309096,5.042118121944332
treatment_novice_1,44,treatment,complex,Osteoporosis,Osteoporosis,Osteoporosis,True,True,0.6626280987974582,medium,False,,none,0.0,False,0.3988460074550063,17.637871660677995,3.408504199347103
treatment_novice_1,4,treatment,simple,Parkinson's Disease,Parkinson's Disease,Parkinson's Disease,True,True,0.6450034686044608,high,True,repeated_queries,visualizations,3.5911545318045746,False,0.3988460074550063,11.567019040761869,5.239298927060034
treatment_novice_1,40,treatment,complex,Heart Failure,Heart Failure,Heart Failure,True,True,0.6663398678135181,medium,False,,none,0.0,False,0.3988460074550063,16.478868315973017,3.9276755846428797
treatment_novice_1,49,treatment,complex,Diabetes Type 2,Diabetes Type 2,Chronic Kidney Disease,True,False,0.632788561480721,high,True,prolonged_hesitation,micro_learning,8.38824228816785,False,0.40511718552614445,21.594807222138176,4.582987124114141
treatment_novice_1,11,treatment,simple,Parkinson's Disease,Parkinson's Disease,Multiple Sclerosis,True,False,0.6461995466125262,high,True,repeated_queries,visualizations,8.570138819796462,False,0.40511718552614445,11.516314263785755,5.384759880515397
treatment_novice_1,20,treatment,medium,Diabetes Type 2,Chronic Kidney Disease,Chronic Kidney Disease,False,False,0.5815364862926725,high,True,repeated_queries,interactive_qa,7.975081639727152,False,0.40511718552614445,16.14289111814109,5.482555910916133
treatment_novice_1,7,treatment,simple,Heart Failure,Heart Failure,Heart Failure,True,True,0.8270487262019339,low,True,repeated_queries,interactive_qa,8.176092327233711,False,0.40511718552614445,10.926475329902688,3.156546378116389
treatment_novice_2,62,treatment,complex,Parkinson's Disease,Multiple Sclerosis,Parkinson's Disease,False,True,0.5,high,True,prolonged_hesitation,analogies,7.920196719188222,True,0.2068015530241064,47.24399709218657,6.358357517766665
treatment_novice_2,17,treatment,medium,Asthma,Asthma,Asthma,True,True,0.6529200042530878,medium,False,,none,0.0,False,0.2068015530241064,28.667552052060426,5.0216694366725125
treatment_novice_2,12,treatment,simple,Parkinson's Disease,Parkinson's Disease,Parkinson's Disease,True,True,0.5993062278552109,high,True,repeated_queries,analogies,8.853255693504689,True,0.21845634099248476,26.66141411016844,6.691813263477204
treatment_novice_2,37,treatment,complex,Heart Failure,Heart Failure,Chronic Kidney Disease,True,False,0.7898507070660128,medium,True,repeated_queries,analogies,3.11796508283794,False,0.21995634099248476,44.53969993028065,5.868157218724717
treatment_novice_2,21,treatment,medium,Diabetes Type 2,Chronic Kidney Disease,Chronic Kidney Disease,False,False,0.6516330245150947,medium,True,repeated_queries,analogies,9.102972912787344,True,0.2353804237986291,26.9305397880177,5.16315107079912
treatment_novice_2,45,treatment,complex,Parkinson's Disease,Parkinson's Disease,Parkinson's Disease,True,True,0.6968926078576626,medium,False,,none,0.0,False,0.2353804237986291,31.500569993714635,4.458881547968562
treatment_novice_2,41,treatment,complex,Heart Failure,Heart Failure,Chronic Kidney Disease,True,False,0.6746891305822336,medium,True,prolonged_hesitation,analogies,8.175044473150061,True,0.2535051542259643,37.99999847578661,5.574120503464002
treatment_novice_2,50,treatment,complex,Diabetes Type 2,Chronic Kidney Disease,Diabetes Type 2,False,True,0.612613013735289,high,True,ignoring_uncertainty,micro_learning,8.226960304534114,True,0.27003638920287604,42.14092488627088,7.782310795807827
treatment_novice_2,22,treatment,medium,Asthma,Asthma,Asthma,True,True,0.5997944853070777,high,True,ignoring_uncertainty,analogies,3.4455427176183124,False,0.27203638920287604,32.470850276056375,5.516941553115289
treatment_novice_2,30,treatment,medium,Chronic Kidney Disease,Diabetes Type 2,Heart Failure,False,False,0.7256306135489475,medium,True,repeated_queries,analogies,1.2792843521278523,False,0.27353638920287604,30.645704679363877,5.840460084405004
treatment_novice_2,2,treatment,simple,Pneumonia,Pneumonia,Pneumonia,True,True,0.7584110847182634,medium,True,repeated_queries,simplified_explanation,8.629658941303076,True,0.28689278273460256,24.765356480603565,5.832340934540163
treatment_novice_2,42,treatment,complex,Heart Failure,Heart Failure,Heart Failure,True,True,0.7233800920782854,medium,False,,none,0.0,False,0.28689278273460256,30.68062096846686,5.798242459764008
treatment_novice_2,24,treatment,medium,Osteoporosis,Osteoporosis,Rheumatoid Arthritis,True,False,0.847551471646201,low,False,,none,0.0,False,0.28689278273460256,26.40462460438023,3.7196158440035276
treatment_novice_2,36,treatment,complex,Diabetes Type 2,Diabetes Type 2,Diabetes Type 2,True,True,0.7765696471202608,medium,True,prolonged_hesitation,simplified_explanation,3.082093003366332,False,0.28889278273460256,37.270575033467516,5.123191145296399
treatment_novice_2,35,treatment,medium,Parkinson's Disease,Parkinson's Disease,Multiple Sclerosis,True,False,0.6649209777027317,medium,True,repeated_queries,analogies,2.8842401150227075,False,0.29039278273460256,29.644412655969006,5.735158984330976
treatment_novice_2,55,treatment,complex,Chronic Kidney Disease,Diabetes Type 2,Diabetes Type 2,False,False,0.7079887573806449,medium,True,repeated_queries,simplified_explanation,8.655873296010132,True,0.30682478401457913,31.470559579749303,5.623016317224781
treatment_novice_2,13,treatment,simple,Asthma,Asthma,Pneumonia,True,False,0.7475216110255432,medium,True,repeated_queries,contrastive_explanation,2.705141166318883,False,0.30832478401457913,17.08046430589862,4.407090761978214
treatment_novice_2,59,treatment,complex,Osteoporosis,Osteoporosis,Osteoporosis,True,True,0.6018310936452282,high,True,ignoring_uncertainty,analogies,8.551190742498022,True,0.32299545550550507,33.10627212388874,7.01260158512116
treatment_novice_2,58,treatment,complex,Heart Failure,Heart Failure,Heart Failure,True,True,0.5750791221333449,high,True,prolonged_hesitation,simplified_explanation,8.38557853047099,True,0.34654283489280663,35.92016231672573,6.078869603444563
treatment_novice_2,61,treatment,complex,Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arthritis,True,True,0.6427870191620578,high,True,ignoring_uncertainty,micro_learning,1.354170160847089,False,0.34854283489280663,31.218259162691307,6.780647588390622
treatment_novice_2,16,treatment,medium,Asthma,Asthma,Asthma,True,True,0.6787973708033127,medium,True,repeated_queries,visualizations,8.837091947438976,True,0.3597197041029152,19.436685802151427,5.3913853361248725
treatment_novice_2,47,treatment,complex,Rheumatoid Arthritis,Rheumatoid Arthritis,Osteoporosis,True,False,0.8088785484707833,low,False,,none,0.0,False,0.3597197041029152,23.43731921679367,3.180739186432892
treatment_novice_2,52,treatment,complex,Asthma,Asthma,Asthma,True,True,0.7006122827678748,medium,True,repeated_queries,simplified_explanation,8.686254891628932,True,0.3752013999987772,31.068427980653393,4.601003008811471
treatment_novice_2,63,treatment,complex,Osteoporosis,Osteoporosis,Osteoporosis,True,True,0.6604820883088356,medium,True,prolonged_hesitation,analogies,8.269024315491668,True,0.3893589641968531,34.81562552010545,4.404782660280314
treatment_novice_2,31,treatment,medium,Rheumatoid Arthritis,Rheumatoid Arthritis,Osteoporosis,True,False,0.7681645117122917,medium,False,,none,0.0,False,0.3893589641968531,17.104182004845864,3.5746049088856293
treatment_novice_2,9,treatment,simple,Osteoporosis,Rheumatoid Arthritis,Rheumatoid Arthritis,False,False,0.6242311882128797,high,True,ignoring_uncertainty,visualizations,8.256752196291691,True,0.4093096544114215,14.259423546193467,5.735181174498753
treatment_novice_2,51,treatment,complex,Diabetes Type 2,Diabetes Type 2,Diabetes Type 2,True,True,0.5724062307407438,high,True,prolonged_hesitation,analogies,1.2712626641455747,False,0.4113096544114215,29.627893541111174,4.666697686797152
treatment_novice_2,5,treatment,simple,Parkinson's Disease,Parkinson's Disease,Parkinson's Disease,True,True,0.7590633949711229,medium,False,,none,0.0,False,0.4113096544114215,14.729510800299282,3.33303041454615
treatment_novice_2,25,treatment,medium,Asthma,Asthma,Asthma,True,True,0.7150362676006241,medium,True,repeated_queries,simplified_explanation,8.319979489109517,True,0.42892671632863083,17.59004642475923,3.256381602053919
treatment_novice_2,65,treatment,complex,Chronic Kidney Disease,Chronic Kidney Disease,Chronic Kidney Disease,True,True,0.743796068676035,medium,True,repeated_queries,analogies,8.295520553742367,True,0.4417485739805569,32.401842008871476,3.584313093649122
treatment_novice_2,10,treatment,simple,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease,True,True,0.6838034291939968,medium,False,,none,0.0,False,0.4417485739805569,11.186528039237603,3.673138211893332
treatment_novice_2,48,treatment,complex,Heart Failure,Heart Failure,Heart Failure,True,True,0.7906504248313382,medium,True,repeated_queries,simplified_explanation,9.445661250125559,True,0.45017060505800416,26.769539634323273,5.295792972460297
treatment_novice_2,1,treatment,simple,Heart Failure,Heart Failure,Heart Failure,True,True,0.6915053155931061,medium,False,,none,0.0,False,0.45017060505800416,15.048607851574086,4.56324852691726
treatment_novice_2,60,treatment,complex,Chronic Kidney Disease,Chronic Kidney Disease,Chronic Kidney Disease,True,True,0.8017666756917727,low,True,prolonged_hesitation,analogies,9.183208694566499,True,0.4655866771347305,27.501529457841166,2.7440014503727506
treatment_novice_2,26,treatment,medium,Asthma,Asthma,Asthma,True,True,0.6026670302981951,high,True,ignoring_uncertainty,visualizations,8.786574878425254,True,0.480717274847281,21.19165567001302,5.08825424007041
treatment_novice_2,15,treatment,simple,Osteoporosis,Osteoporosis,Osteoporosis,True,True,0.8039442662737404,low,False,,none,0.0,False,0.480717274847281,10.235509720225702,2.6877453868252363
treatment_novice_2,3,treatment,simple,Parkinson's Disease,Parkinson's Disease,Parkinson's Disease,True,True,0.6022608012866592,high,True,repeated_queries,visualizations,2.702448264488192,False,0.480717274847281,14.060094273109675,5.389499807400641
treatment_novice_2,64,treatment,complex,Diabetes Type 2,Diabetes Type 2,Diabetes Type 2,True,True,0.8263114649254237,low,True,prolonged_hesitation,analogies,3.4649854162849296,False,0.482717274847281,24.16297915023791,2.9053930329107818
treatment_novice_2,34,treatment,medium,Pneumonia,Pneumonia,Pneumonia,True,True,0.6295637321688629,high,False,,none,0.0,False,0.482717274847281,21.117334664686457,5.350758140245526
treatment_novice_2,53,treatment,complex,Asthma,Asthma,Asthma,True,True,0.7986420932698753,medium,True,prolonged_hesitation,simplified_explanation,1.4827134847339631,False,0.484717274847281,26.66832624084278,3.115167473674576
treatment_novice_2,38,treatment,complex,Diabetes Type 2,Diabetes Type 2,Diabetes Type 2,True,True,0.819437251935992,low,True,prolonged_hesitation,simplified_explanation,8.854847785201034,True,0.5086653783132711,22.915083659658492,2.2584443038575674
treatment_novice_2,19,treatment,medium,Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arthritis,True,True,0.768992201701087,medium,False,,none,0.0,False,0.5086653783132711,13.975983788330593,3.0579545771113823
treatment_novice_2,46,treatment,complex,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease,True,True,0.5790960692444496,high,True,repeated_queries,simplified_explanation,2.1082049947958352,False,0.5086653783132711,26.2839442711509,3.961383267714904
treatment_novice_2,54,treatment,complex,Heart Failure,Heart Failure,Heart Failure,True,True,0.6819221268558306,medium,False,,none,0.0,False,0.5086653783132711,17.33099802570122,3.6712267741006013
treatment_novice_2,23,treatment,medium,Parkinson's Disease,Parkinson's Disease,Parkinson's Disease,True,True,0.8022391499290751,low,True,repeated_queries,micro_learning,7.607454767367793,True,0.5086653783132711,12.577825875657437,3.861569042486865
treatment_novice_2,8,treatment,simple,Heart Failure,Pneumonia,Chronic Kidney Disease,False,False,0.5,high,False,,none,0.0,False,0.5086653783132711,11.598386373938151,4.630715130508063
treatment_novice_2,33,treatment,medium,Asthma,Asthma,Asthma,True,True,0.6328602459721747,high,False,,none,0.0,False,0.5086653783132711,17.311468648377677,3.4981432446479492
treatment_novice_2,14,treatment,simple,Asthma,Asthma,Asthma,True,True,0.5802971328476345,high,False,,none,0.0,False,0.5086653783132711,11.204900064386234,3.364615917254488
treatment_novice_2,57,treatment,complex,Multiple Sclerosis,Multiple Sclerosis,Multiple Sclerosis,True,True,0.5647872926572333,high,True,prolonged_hesitation,interactive_qa,7.7233039772105165,True,0.52572927661006,26.547589628465285,4.930591142545342
treatment_novice_2,27,treatment,medium,Pneumonia,Pneumonia,Pneumonia,True,True,0.5767860550908797,high,False,,none,0.0,False,0.52572927661006,14.256891669714197,4.526434692113914
treatment_novice_2,56,treatment,complex,Chronic Kidney Disease,Heart Failure,Heart Failure,False,False,0.5021212068038361,high,True,prolonged_hesitation,micro_learning,7.613100432996634,True,0.5389009392963849,20.765370690280708,3.97614570427889
treatment_novice_2,39,treatment,complex,Heart Failure,Heart Failure,Heart Failure,True,True,0.6549279704933963,medium,False,,none,0.0,False,0.5389009392963849,17.96101830441249,2.248379052121205
treatment_novice_2,32,treatment,medium,Heart Failure,Heart Failure,Heart Failure,True,True,0.7533085738272912,medium,False,,none,0.0,False,0.5389009392963849,17.082425724373582,3.2859187579955424
treatment_novice_2,28,treatment,medium,Multiple Sclerosis,Multiple Sclerosis,Multiple Sclerosis,True,True,0.7628104589344716,medium,False,,none,0.0,False,0.5389009392963849,14.80080272186915,3.2424790376023793
treatment_novice_2,43,treatment,complex,Chronic Kidney Disease,Chronic Kidney Disease,Chronic Kidney Disease,True,True,0.7281317627632247,medium,False,,none,0.0,False,0.5389009392963849,17.765017159557843,2.553779986630904
treatment_novice_2,29,treatment,medium,Heart Failure,Heart Failure,Heart Failure,True,True,0.7051880756738954,medium,False,,none,0.0,False,0.5389009392963849,12.509845386044946,2.023380688157996
treatment_novice_2,18,treatment,medium,Chronic Obstructive Pulmonary Disease,Pneumonia,Pneumonia,False,False,0.5664824763016375,high,False,,none,0.0,False,0.5389009392963849,17.54180435690639,2.9338892452643934
treatment_novice_2,6,treatment,simple,Heart Failure,Heart Failure,Heart Failure,True,True,0.7515605427887226,medium,False,,none,0.0,False,0.5389009392963849,9.554840417341032,3.7626932536939117
treatment_novice_2,44,treatment,complex,Osteoporosis,Osteoporosis,Osteoporosis,True,True,0.6169983776156825,high,False,,none,0.0,False,0.5389009392963849,19.414614448686695,3.139918542507074
treatment_novice_2,4,treatment,simple,Parkinson's Disease,Parkinson's Disease,Parkinson's Disease,True,True,0.7001432123478113,medium,False,,none,0.0,False,0.5389009392963849,10.640765764389053,3.518900636372533
treatment_novice_2,40,treatment,complex,Heart Failure,Chronic Kidney Disease,Chronic Kidney Disease,False,False,0.5497888340749578,high,True,prolonged_hesitation,simplified_explanation,8.886440717760657,True,0.5389009392963849,25.733372939537187,4.259997860237986
treatment_novice_2,49,treatment,complex,Diabetes Type 2,Diabetes Type 2,Diabetes Type 2,True,True,0.5613175955424814,high,True,prolonged_hesitation,simplified_explanation,8.467232299629295,True,0.5389009392963849,22.353785591979772,3.8491845291795332
treatment_novice_2,11,treatment,simple,Parkinson's Disease,Parkinson's Disease,Parkinson's Disease,True,True,0.6372483375428459,high,True,repeated_queries,micro_learning,8.005560265502197,True,0.5389009392963849,10.218758169942939,4.835405467782235
treatment_novice_2,20,treatment,medium,Diabetes Type 2,Diabetes Type 2,Chronic Kidney Disease,True,False,0.7451621140363673,medium,False,,none,0.0,False,0.5389009392963849,10.980407184064031,2.072157108355729
